Unnamed: 0,task,model,temp,rep,original_response,pid,original_response_cleaned,response,invalid,jump_GT,response_len,response_num_words,previous_original_response,previous_response,order,category,SS,jump_cat,jump_SS,jump,originality,jump_profile
92,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,leopard,4,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
93,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,cheetah,4,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
94,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,panda,4,panda,panda,,,5,1,cheetah,cheetah,10,6,0.796429753303528,1,1,1,,2
95,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,gorilla,4,gorilla,gorilla,,,7,1,panda,panda,11,4,0.829245090484619,1,0,0,,2
96,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,orangutan,4,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.840896308422089,1,0,0,,2
97,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,monkey,4,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.866105794906616,1,0,0,,2
98,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,chimpanzee,4,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.880310952663422,0,0,0,,2
99,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,baboon,4,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.845764219760895,0,0,0,,2
100,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,tarsier,4,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.835408806800842,1,0,0,,2
101,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,sloth,4,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,2
102,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,koala,4,koala,koala,,,5,1,sloth,sloth,18,5,0.800620079040527,1,0,0,,2
103,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,4,kangaroo rat,4,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.819009780883789,0,0,0,,2
113,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,giraffe,5,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
114,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,zebra,5,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
115,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,rhinoceros,5,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
116,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,hippopotamus,5,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
117,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,kangaroo,5,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
118,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,tiger,5,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
119,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,lion,5,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
120,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,leopard,5,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
121,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,cheetah,5,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
122,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,panda,5,panda,panda,,,5,1,cheetah,cheetah,10,6,0.796429753303528,1,1,1,,2
123,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,gorilla,5,gorilla,gorilla,,,7,1,panda,panda,11,4,0.829245090484619,1,0,0,,2
124,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,orangutan,5,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.840896308422089,1,0,0,,2
125,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,monkey,5,monkey,monkey,,,6,1,orangutan,orangutan,13,4,0.866105794906616,1,0,0,,2
126,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,chimpanzee,5,chimpanzee,chimpanzee,,,10,1,monkey,monkey,14,4,0.880310952663422,0,0,0,,2
127,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,baboon,5,baboon,baboon,,,6,1,chimpanzee,chimpanzee,15,4,0.845764219760895,0,0,0,,2
128,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,tarsier,5,tarsier,tarsier,,,7,1,baboon,baboon,16,9,0.835408806800842,1,0,0,,2
129,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,sloth,5,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,2
130,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,koala,5,koala,koala,,,5,1,sloth,sloth,18,5,0.800620079040527,1,0,0,,2
131,1,mistralai/Mistral-7B-Instruct-v0.2,0.0,5,kangaroo rat,5,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.819009780883789,0,0,0,,2
141,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,tiger,6,tiger,tiger,,,5,1,lion,lion,1,6,0.843052387237549,1,0,0,,0
142,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,elephant,6,elephant,elephant,,,8,1,tiger,tiger,2,9,0.818225085735321,1,0,0,,0
143,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,giraffe,6,giraffe,giraffe,,,7,1,elephant,elephant,3,14,0.850128412246704,1,0,0,,0
144,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,zebra,6,zebra,zebra,,,5,1,giraffe,giraffe,4,9,0.819354712963104,1,0,0,,0
145,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,hippopotamus,6,hippopotamus,hippopotamus,,,12,1,zebra,zebra,5,9,0.811991214752197,0,0,0,,0
146,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,rhinoceros,6,rhinoceros,rhinoceros,,,10,1,hippopotamus,hippopotamus,6,9,0.844672858715057,0,0,0,,0
147,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,leopard,6,leopard,leopard,,,7,1,rhinoceros,rhinoceros,7,1,0.831972360610962,1,0,0,,0
148,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,gorilla,6,gorilla,gorilla,,,7,1,leopard,leopard,8,4,0.861004769802094,1,0,0,,0
149,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,kangaroo,6,kangaroo,kangaroo,,,8,1,gorilla,gorilla,9,5,0.837585091590881,1,0,0,,0
150,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,cheetah,6,cheetah,cheetah,,,7,1,kangaroo,kangaroo,10,1,0.799214541912079,1,1,1,,1
151,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,panda,6,panda,panda,,,5,1,cheetah,cheetah,11,6,0.796429753303528,1,1,1,,2
152,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,polar bear,6,polar bear,polar bear,,,10,2,panda,panda,12,6,0.82874858379364,0,0,0,,2
153,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,brown bear,6,brown bear,brown bear,,,10,2,polar bear,polar bear,13,6,0.86056387424469,0,0,0,,2
154,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,tiger shark,6,tiger shark,tiger shark,,,11,2,brown bear,brown bear,14,12,0.742581367492676,1,1,1,,3
155,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,great white shark,6,great white shark,great white shark,,,17,3,tiger shark,tiger shark,15,12,0.859801292419434,0,0,0,,3
156,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,crocodile,6,crocodile,crocodile,,,9,1,great white shark,great white shark,16,7,0.800581693649292,1,0,0,,3
157,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,alligator,6,alligator,alligator,,,9,1,crocodile,crocodile,17,7,0.921541929244995,0,0,0,,3
158,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,snake,6,snake,snake,,,5,1,alligator,alligator,18,7,0.854504466056824,0,0,0,,3
159,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,1,lizard,6,lizard,lizard,,,6,1,snake,snake,19,7,0.85610294342041,0,0,0,,3
169,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,giraffe,7,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
170,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,zebra,7,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
171,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,rhinoceros,7,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
172,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,hippopotamus,7,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
173,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,kangaroo,7,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
174,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,tiger,7,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
175,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,lion,7,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
176,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,leopard,7,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
177,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,cheetah,7,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
178,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,hyena,7,hyena,hyena,,,5,1,cheetah,cheetah,10,9,0.85372531414032,1,0,0,,1
179,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,crocodile,7,crocodile,crocodile,,,9,1,hyena,hyena,11,7,0.836341023445129,1,0,0,,1
180,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,gorilla,7,gorilla,gorilla,,,7,1,crocodile,crocodile,12,4,0.860704064369202,1,0,0,,1
181,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,orangutan,7,orangutan,orangutan,,,9,1,gorilla,gorilla,13,9,0.840896308422089,1,0,0,,1
182,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,baboon,7,baboon,baboon,,,6,1,orangutan,orangutan,14,4,0.842430293560028,1,0,0,,1
183,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,monkey,7,monkey,monkey,,,6,1,baboon,baboon,15,4,0.88852322101593,0,0,0,,1
184,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,tarsier,7,tarsier,tarsier,,,7,1,monkey,monkey,16,9,0.839952707290649,1,0,0,,1
185,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,sloth,7,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,1
186,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,armadillo,7,armadillo,armadillo,,,9,1,sloth,sloth,18,9,0.787394046783447,0,1,0,,1
187,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,2,kangaroo rat,7,kangaroo rat,kangaroo rat,,,12,2,armadillo,armadillo,19,5,0.781687080860138,1,1,1,,2
196,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,giraffe,8,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
197,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,zebra,8,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
198,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,rhinoceros,8,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
199,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,hippopotamus,8,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
200,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,kangaroo,8,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
201,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,tiger,8,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
202,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,lion,8,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
203,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,leopard,8,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
204,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,cheetah,8,cheetah,cheetah,,,7,1,leopard,leopard,9,1,0.850775182247162,0,0,0,,1
205,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,panda,8,panda,panda,,,5,1,cheetah,cheetah,10,6,0.796429753303528,1,1,1,,2
206,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,gorilla,8,gorilla,gorilla,,,7,1,panda,panda,11,4,0.829245090484619,1,0,0,,2
207,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,orangutan,8,orangutan,orangutan,,,9,1,gorilla,gorilla,12,9,0.840896308422089,1,0,0,,2
208,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,chimpanzee,8,chimpanzee,chimpanzee,,,10,1,orangutan,orangutan,13,4,0.887570559978485,1,0,0,,2
209,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,baboon,8,baboon,baboon,,,6,1,chimpanzee,chimpanzee,14,4,0.845764219760895,0,0,0,,2
210,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,monkey,8,monkey,monkey,,,6,1,baboon,baboon,15,4,0.88852322101593,0,0,0,,2
211,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,tarsier,8,tarsier,tarsier,,,7,1,monkey,monkey,16,9,0.839952707290649,1,0,0,,2
212,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,sloth,8,sloth,sloth,,,5,1,tarsier,tarsier,17,9,0.810124039649963,0,0,0,,2
213,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,koala,8,koala,koala,,,5,1,sloth,sloth,18,5,0.800620079040527,1,0,0,,2
214,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,3,kangaroo rat,8,kangaroo rat,kangaroo rat,,,12,2,koala,koala,19,5,0.819009780883789,0,0,0,,2
226,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,giraffe,9,giraffe,giraffe,,,7,1,elephant,elephant,1,14,0.850128412246704,1,0,0,,0
227,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,zebra,9,zebra,zebra,,,5,1,giraffe,giraffe,2,9,0.819354712963104,1,0,0,,0
228,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,rhinoceros,9,rhinoceros,rhinoceros,,,10,1,zebra,zebra,3,9,0.827096879482269,0,0,0,,0
229,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,hippopotamus,9,hippopotamus,hippopotamus,,,12,1,rhinoceros,rhinoceros,4,9,0.844672858715057,0,0,0,,0
230,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,kangaroo,9,kangaroo,kangaroo,,,8,1,hippopotamus,hippopotamus,5,5,0.819636106491089,1,0,0,,0
231,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,tiger,9,tiger,tiger,,,5,1,kangaroo,kangaroo,6,6,0.797845721244812,1,1,1,,1
232,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,lion,9,lion,lion,,,4,1,tiger,tiger,7,1,0.843052387237549,1,0,0,,1
233,1,mistralai/Mistral-7B-Instruct-v0.2,0.1,4,leopard,9,leopard,leopard,,,7,1,lion,lion,8,1,0.866910636425018,0,0,0,,1
