,pid,task,starttime,endtime,original_response_Dutch,original_response,original_response_cleaned,response,invalid,response_len,response_num_words,order,RT
94,2658,1,1612271955125,1612271959793,mug,mosquito,mosquito,mosquito,0.0,8,1,13,4.668
95,2658,1,1612271959793,1612271967071,luipaard,leopard,leopard,leopard,0.0,7,1,14,7.278
96,2658,1,1612271967071,1612271970596,giraffe,giraffe,giraffe,giraffe,0.0,7,1,15,3.525
97,2658,1,1612271970596,1612271973395,kip,chicken,chicken,chicken,0.0,7,1,16,2.799
98,2658,1,1612271973395,1612271974037,koe,cow,cow,cow,0.0,3,1,17,0.642
99,2658,1,1612271974037,1612271975259,varken,pig,pig,pig,0.0,3,1,18,1.222
100,2658,1,1612271975259,1612271976154,schaap,sheep,sheep,sheep,0.0,5,1,19,0.895
146,2660,1,1612274344953,1612274346896,hond,dog,dog,dog,0.0,3,1,1,1.943
147,2660,1,1612274346896,1612274351059,vleermuis,bat,bat,bat,0.0,3,1,2,4.163
148,2660,1,1612274351059,1612274352188,muis,mouse,mouse,mouse,0.0,5,1,3,1.129
149,2660,1,1612274352188,1612274355793,konijn,rabbit,rabbit,rabbit,0.0,6,1,4,3.605
150,2660,1,1612274355793,1612274356884,kip,chicken,chicken,chicken,0.0,7,1,5,1.091
151,2660,1,1612274356884,1612274358134,koe,cow,cow,cow,0.0,3,1,6,1.25
152,2660,1,1612274358134,1612274362844,hamster,hamster,hamster,hamster,0.0,7,1,7,4.71
153,2660,1,1612274362844,1612274373644,koala,koala,koala,koala,0.0,5,1,8,10.8
154,2660,1,1612274373644,1612274374912,panda,panda,panda,panda,0.0,5,1,9,1.268
155,2660,1,1612274374912,1612274376969,tijger,Tiger,Tiger,tiger,0.0,5,1,10,2.057
156,2660,1,1612274376969,1612274378247,leeuw,lion,lion,lion,0.0,4,1,11,1.278
157,2660,1,1612274378247,1612274381444,cheeta,cheetah,cheetah,cheetah,0.0,7,1,12,3.197
158,2660,1,1612274381444,1612274383165,uil,owl,owl,owl,0.0,3,1,13,1.721
159,2660,1,1612274383165,1612274386361,valk,falcon,falcon,falcon,0.0,6,1,14,3.196
160,2660,1,1612274386361,1612274390499,jaguar,jaguar,jaguar,jaguar,0.0,6,1,15,4.138
161,2660,1,1612274390499,1612274395520,arend,Eagle,Eagle,eagle,0.0,5,1,16,5.021
162,2660,1,1612274395520,1612274410744,rat,rat,rat,rat,0.0,3,1,17,15.224
163,2660,1,1612274410744,1612274415841,beer,bear,bear,bear,0.0,4,1,18,5.097
164,2660,1,1612274415841,1612274417783,ijsbeer,polar bear,polar bear,polar bear,0.0,10,2,19,1.942
206,2661,1,1612274853911,1612274855384,paard,horse,horse,horse,0.0,5,1,1,1.473
207,2661,1,1612274855384,1612274856486,kip,chicken,chicken,chicken,0.0,7,1,2,1.102
208,2661,1,1612274856486,1612274857726,varken,pig,pig,pig,0.0,3,1,3,1.24
209,2661,1,1612274857726,1612274859060,olifant,elephant,elephant,elephant,0.0,8,1,4,1.334
210,2661,1,1612274859060,1612274859853,hond,dog,dog,dog,0.0,3,1,5,0.793
211,2661,1,1612274859853,1612274861177,kat,cat,cat,cat,0.0,3,1,6,1.324
212,2661,1,1612274861177,1612274862490,hamster,hamster,hamster,hamster,0.0,7,1,7,1.313
213,2661,1,1612274862490,1612274863879,konijn,rabbit,rabbit,rabbit,0.0,6,1,8,1.389
214,2661,1,1612274863879,1612274865066,giraf,giraffe,giraffe,giraffe,0.0,7,1,9,1.187
215,2661,1,1612274865066,1612274865948,leeuw,lion,lion,lion,0.0,4,1,10,0.882
216,2661,1,1612274865948,1612274868450,vogel,bird,bird,bird,0.0,4,1,11,2.502
217,2661,1,1612274868450,1612274872349,slang,snake,snake,snake,0.0,5,1,12,3.899
218,2661,1,1612274872349,1612274874509,haai,shark,shark,shark,0.0,5,1,13,2.16
219,2661,1,1612274874509,1612274876424,dolfijn,dolphin,dolphin,dolphin,0.0,7,1,14,1.915
220,2661,1,1612274876424,1612274880645,goudvis,goldfish,goldfish,goldfish,0.0,8,1,15,4.221
221,2661,1,1612274880645,1612274883035,zwijn,boar,boar,boar,0.0,4,1,16,2.39
222,2661,1,1612274883035,1612274883762,hert,deer,deer,deer,0.0,4,1,17,0.727
223,2661,1,1612274883762,1612274886651,mug,mosquito,mosquito,mosquito,0.0,8,1,18,2.889
224,2661,1,1612274886651,1612274891680,lieveheersbeestje,ladybird,ladybird,ladybird,0.0,8,1,19,5.029
256,2662,1,1612275527990,1612275529076,kat,cat,cat,cat,0.0,3,1,1,1.086
257,2662,1,1612275529076,1612275531868,tijger,Tiger,Tiger,tiger,0.0,5,1,2,2.792
258,2662,1,1612275531868,1612275533445,zebra,zebra,zebra,zebra,0.0,5,1,3,1.577
259,2662,1,1612275533445,1612275534903,hamster,hamster,hamster,hamster,0.0,7,1,4,1.458
260,2662,1,1612275534903,1612275536421,leeuw,lion,lion,lion,0.0,4,1,5,1.518
261,2662,1,1612275536421,1612275540705,konijn,rabbit,rabbit,rabbit,0.0,6,1,6,4.284
262,2662,1,1612275540705,1612275542252,haas,hare,hare,hare,0.0,4,1,7,1.547
263,2662,1,1612275542252,1612275549163,vogel,bird,bird,bird,0.0,4,1,8,6.911
264,2662,1,1612275549163,1612275554759,vogelbekdier,platypus,platypus,platypus,0.0,8,1,9,5.596
265,2662,1,1612275554759,1612275559734,chitta,chitta,chitta,cheetah,0.0,7,1,10,4.975
266,2662,1,1612275567936,1612275569355,otter,otter,otter,otter,0.0,5,1,11,1.419
267,2662,1,1612275569355,1612275572702,haai,shark,shark,shark,0.0,5,1,12,3.347
268,2662,1,1612275572702,1612275577177,zeeleeuw,sea ​​lion,sea lion,sea lion,0.0,8,2,13,4.475
269,2662,1,1612275577177,1612275578526,walvis,whale,whale,whale,0.0,5,1,14,1.349
270,2662,1,1612275578526,1612275581160,vinvis,fin whale,fin whale,blue whale,0.0,9,2,15,2.634
271,2662,1,1612275581160,1612275586198,dolfijn,dolphin,dolphin,dolphin,0.0,7,1,16,5.038
272,2662,1,1612275586198,1612275594165,zeehond,seal,seal,seal,0.0,4,1,17,7.967
273,2662,1,1612275594165,1612275603436,aap,monkey,monkey,monkey,0.0,6,1,18,9.271
274,2662,1,1612275603436,1612275608164,luiaard,sloth,sloth,sloth,0.0,5,1,19,4.728
295,2664,1,1612278131011,1612278132641,Leeuw,Lion,Lion,lion,0.0,4,1,1,1.63
296,2664,1,1612278132641,1612278134185,Tijger,Tiger,Tiger,tiger,0.0,5,1,2,1.544
297,2664,1,1612278134185,1612278135102,kat,cat,cat,cat,0.0,3,1,3,0.917
298,2664,1,1612278135102,1612278136791,Hond,Dog,Dog,dog,0.0,3,1,4,1.689
299,2664,1,1612278136791,1612278140381,salamander,salamander,salamander,salamander,0.0,10,1,5,3.59
300,2664,1,1612278140381,1612278142079,mier,ant,ant,ant,0.0,3,1,6,1.698
301,2664,1,1612278142079,1612278146913,vlinder,butterfly,butterfly,butterfly,0.0,9,1,7,4.834
302,2664,1,1612278146913,1612278148486,rups,caterpillar,caterpillar,caterpillar,0.0,11,1,8,1.573
303,2664,1,1612278148486,1612278154695,Giraffe,Giraffe,Giraffe,giraffe,0.0,7,1,9,6.209
304,2664,1,1612278154695,1612278157551,Neushoorn,Rhino,Rhino,rhino,0.0,5,1,10,2.856
305,2664,1,1612278157551,1612278161191,Olifant,Elephant,Elephant,elephant,0.0,8,1,11,3.64
306,2664,1,1612278161191,1612278163769,Koe,Cow,Cow,cow,0.0,3,1,12,2.578
307,2664,1,1612278163769,1612278165477,Tapir,Tapir,Tapir,tapir,0.0,5,1,13,1.708
308,2664,1,1612278165477,1612278169949,Stokstaartje,Meerkat,Meerkat,meerkat,0.0,7,1,14,4.472
309,2664,1,1612278169949,1612278172294,Zalm,salmon,salmon,salmon,0.0,6,1,15,2.345
310,2664,1,1612278172294,1612278173889,Makreel,Mackerel,Mackerel,mackerel,0.0,8,1,16,1.595
311,2664,1,1612278173889,1612278175379,Karper,Carp,Carp,carp,0.0,4,1,17,1.49
312,2664,1,1612278175379,1612278176846,Haai,Shark,Shark,shark,0.0,5,1,18,1.467
313,2664,1,1612278176846,1612278179670,Kwal,Jellyfish,Jellyfish,jellyfish,0.0,9,1,19,2.824
349,2667,1,1612280360922,1612280363190,konijn,rabbit,rabbit,rabbit,0.0,6,1,1,2.268
350,2667,1,1612280363190,1612280364382,kat,cat,cat,cat,0.0,3,1,2,1.192
351,2667,1,1612280364382,1612280365851,hond,dog,dog,dog,0.0,3,1,3,1.469
352,2667,1,1612280365851,1612280368079,olifant,elephant,elephant,elephant,0.0,8,1,4,2.228
353,2667,1,1612280368079,1612280370312,dolfijn,dolphin,dolphin,dolphin,0.0,7,1,5,2.233
354,2667,1,1612280370312,1612280372032,vogel,bird,bird,bird,0.0,4,1,6,1.72
355,2667,1,1612280372032,1612280375236,vleermuis,bat,bat,bat,0.0,3,1,7,3.204
356,2667,1,1612280375236,1612280378379,muis,mouse,mouse,mouse,0.0,5,1,8,3.143
357,2667,1,1612280378379,1612280383031,pissebed,woodlice,woodlice,woodlice,0.0,8,1,9,4.652
358,2667,1,1612280383031,1612280385521,mug,mosquito,mosquito,mosquito,0.0,8,1,10,2.49
359,2667,1,1612280385521,1612280386959,bei,bei,bei,bee,0.0,3,1,11,1.438
360,2667,1,1612280386959,1612280391381,vlieg,fly,fly,fly,0.0,3,1,12,4.422
361,2667,1,1612280391381,1612280393036,giraf,giraffe,giraffe,giraffe,0.0,7,1,13,1.655
362,2667,1,1612280393036,1612280397602,pinguin,penguin,penguin,penguin,0.0,7,1,14,4.566
363,2667,1,1612280397602,1612280399010,ijsbeer,polar bear,polar bear,polar bear,0.0,10,2,15,1.408
364,2667,1,1612280399010,1612280402889,gorilla,gorilla,gorilla,gorilla,0.0,7,1,16,3.879
365,2667,1,1612280402889,1612280406766,chimpansee,chimpanzee,chimpanzee,chimpanzee,0.0,10,1,17,3.877
366,2667,1,1612280406766,1612280407944,vis,fish,fish,fish,0.0,4,1,18,1.178
367,2667,1,1612280407944,1612280410770,haai,shark,shark,shark,0.0,5,1,19,2.826
428,2668,1,1612280458969,1612280460524,kat,cat,cat,cat,0.0,3,1,1,1.555
429,2668,1,1612280460524,1612280468473,hamster,hamster,hamster,hamster,0.0,7,1,2,7.949
430,2668,1,1612280468473,1612280471273,goudvis,goldfish,goldfish,goldfish,0.0,8,1,3,2.8
431,2668,1,1612280471273,1612280473750,slang,snake,snake,snake,0.0,5,1,4,2.477
432,2668,1,1612280473750,1612280475224,rups,caterpillar,caterpillar,caterpillar,0.0,11,1,5,1.474
433,2668,1,1612280475224,1612280476816,teek,tick,tick,tick,0.0,4,1,6,1.592
434,2668,1,1612280476816,1612280479540,spin,spider,spider,spider,0.0,6,1,7,2.724
435,2668,1,1612280479540,1612280481540,leeuw,lion,lion,lion,0.0,4,1,8,2.0
436,2668,1,1612280481540,1612280484198,tijger,Tiger,Tiger,tiger,0.0,5,1,9,2.658
437,2668,1,1612280484198,1612280487814,rups,caterpillar,caterpillar,caterpillar,0.0,11,1,10,3.616
438,2668,1,1612280487814,1612280489697,spin,spider,spider,spider,0.0,6,1,11,1.883
439,2668,1,1612280489697,1612280495579,dromedaris,dromedary,dromedary,dromedary,0.0,9,1,12,5.882
440,2668,1,1612280495579,1612280501039,luipaard,leopard,leopard,leopard,0.0,7,1,13,5.46
441,2668,1,1612280501039,1612280503714,luiaard,sloth,sloth,sloth,0.0,5,1,14,2.675
442,2668,1,1612280503714,1612280507363,draak,dragon,dragon,dragon,0.0,6,1,15,3.649
443,2668,1,1612280507363,1612280513930,mier,ant,ant,ant,0.0,3,1,16,6.567
444,2668,1,1612280513930,1612280521954,konijn,rabbit,rabbit,rabbit,0.0,6,1,17,8.024
445,2668,1,1612280521954,1612280525429,cavia,guinea pig,guinea pig,guinea pig,0.0,10,2,18,3.475
446,2668,1,1612280525429,1612280532563,jaguar,jaguar,jaguar,jaguar,0.0,6,1,19,7.134
511,2672,1,1612282955455,1612282956143,kat,cat,cat,cat,0.0,3,1,1,0.688
512,2672,1,1612282956143,1612282959210,papegaai,parrot,parrot,parrot,0.0,6,1,2,3.067
513,2672,1,1612282959210,1612282960989,giraf,giraffe,giraffe,giraffe,0.0,7,1,3,1.779
514,2672,1,1612282960989,1612282962381,varken,pig,pig,pig,0.0,3,1,4,1.392
515,2672,1,1612282962381,1612282963005,koe,cow,cow,cow,0.0,3,1,5,0.624
516,2672,1,1612282963005,1612282963836,kip,chicken,chicken,chicken,0.0,7,1,6,0.831
517,2672,1,1612282963836,1612282965599,schaap,sheep,sheep,sheep,0.0,5,1,7,1.763
518,2672,1,1612282965599,1612282966229,geit,goat,goat,goat,0.0,4,1,8,0.63
519,2672,1,1612282966229,1612282968816,paard,horse,horse,horse,0.0,5,1,9,2.587
520,2672,1,1612282968816,1612282970584,eend,duck,duck,duck,0.0,4,1,10,1.768
521,2672,1,1612282970584,1612282972358,gans,Goose,Goose,goose,0.0,5,1,11,1.774
522,2672,1,1612282972358,1612282974057,vogel,bird,bird,bird,0.0,4,1,12,1.699
523,2672,1,1612282974057,1612282976301,luiaard,sloth,sloth,sloth,0.0,5,1,13,2.244
524,2672,1,1612282976301,1612282977827,luipaard,leopard,leopard,leopard,0.0,7,1,14,1.526
525,2672,1,1612282977827,1612282981031,cheetah,cheetah,cheetah,cheetah,0.0,7,1,15,3.204
526,2672,1,1612282981031,1612282982067,leeuw,lion,lion,lion,0.0,4,1,16,1.036
527,2672,1,1612282982067,1612282983013,tijger,Tiger,Tiger,tiger,0.0,5,1,17,0.946
528,2672,1,1612282983013,1612282984723,kanarie,canary,canary,canary,0.0,6,1,18,1.71
529,2672,1,1612282984723,1612282986104,kolibrie,hummingbird,hummingbird,hummingbird,0.0,11,1,19,1.381
619,2673,1,1612284640300,1612284641745,hond,dog,dog,dog,0.0,3,1,1,1.445
620,2673,1,1612284641745,1612284642486,kat,cat,cat,cat,0.0,3,1,2,0.741
621,2673,1,1612284642486,1612284644277,varken,pig,pig,pig,0.0,3,1,3,1.791
622,2673,1,1612284644277,1612284646784,vis,fish,fish,fish,0.0,4,1,4,2.507
623,2673,1,1612284646784,1612284647896,panda,panda,panda,panda,0.0,5,1,5,1.112
624,2673,1,1612284647896,1612284649052,tijger,Tiger,Tiger,tiger,0.0,5,1,6,1.156
625,2673,1,1612284649052,1612284650531,olifant,elephant,elephant,elephant,0.0,8,1,7,1.479
626,2673,1,1612284650531,1612284654696,pinguin,penguin,penguin,penguin,0.0,7,1,8,4.165
627,2673,1,1612284654696,1612284657273,walvis,whale,whale,whale,0.0,5,1,9,2.577
628,2673,1,1612284657273,1612284658685,walrus,walrus,walrus,walrus,0.0,6,1,10,1.412
629,2673,1,1612284658685,1612284660762,schildpad,turtle,turtle,turtle,0.0,6,1,11,2.077
630,2673,1,1612284660762,1612284664471,gorilla,gorilla,gorilla,gorilla,0.0,7,1,12,3.709
631,2673,1,1612284664471,1612284670416,giraffe,giraffe,giraffe,giraffe,0.0,7,1,13,5.945
632,2673,1,1612284670416,1612284672439,zebra,zebra,zebra,zebra,0.0,5,1,14,2.023
633,2673,1,1612284672439,1612284676194,hamster,hamster,hamster,hamster,0.0,7,1,15,3.755
634,2673,1,1612284676194,1612284681452,muis,mouse,mouse,mouse,0.0,5,1,16,5.258
635,2673,1,1612284681452,1612284683716,rat,rat,rat,rat,0.0,3,1,17,2.264
636,2673,1,1612284683716,1612284689622,koe,cow,cow,cow,0.0,3,1,18,5.906
637,2673,1,1612284689622,1612284693060,geit,goat,goat,goat,0.0,4,1,19,3.438
732,2674,1,1612288087106,1612288089700,Leeuw,Lion,Lion,lion,0.0,4,1,1,2.594
733,2674,1,1612288089700,1612288092998,Luipaard,Leopard,Leopard,leopard,0.0,7,1,2,3.298
734,2674,1,1612288092998,1612288096772,Kraanvogel,Crane,Crane,crane,0.0,5,1,3,3.774
736,2674,1,1612288101877,1612288104504,Paard,Horse,Horse,horse,0.0,5,1,4,2.627
737,2674,1,1612288104504,1612288108357,Kip,Chicken,Chicken,chicken,0.0,7,1,5,3.853
738,2674,1,1612288108357,1612288114050,Gier,Vulture,Vulture,vulture,0.0,7,1,6,5.693
739,2674,1,1612288114050,1612288116350,Adelaar,Eagle,Eagle,eagle,0.0,5,1,7,2.3
740,2674,1,1612288116350,1612288119385,Meeuw,Seagull,Seagull,seagull,0.0,7,1,8,3.035
741,2674,1,1612288119385,1612288123673,Zeeleeuw,Sea lion,Sea lion,sea lion,0.0,8,2,9,4.288
742,2674,1,1612288123673,1612288127547,Pinguin,Penguin,Penguin,penguin,0.0,7,1,10,3.874
743,2674,1,1612288127547,1612288133181,Giraffe,Giraffe,Giraffe,giraffe,0.0,7,1,11,5.634
744,2674,1,1612288133181,1612288140990,Olifant,Elephant,Elephant,elephant,0.0,8,1,12,7.809
745,2674,1,1612288140990,1612288146255,Koe,Cow,Cow,cow,0.0,3,1,13,5.265
746,2674,1,1612288146255,1612288151782,Schaap,Sheep,Sheep,sheep,0.0,5,1,14,5.527
747,2674,1,1612288151782,1612288165354,Wolf,Wolf,Wolf,wolf,0.0,4,1,15,13.572
748,2674,1,1612288165354,1612288169407,Vos,Fox,Fox,fox,0.0,3,1,16,4.053
749,2674,1,1612288169407,1612288171310,Konijn,Rabbit,Rabbit,rabbit,0.0,6,1,17,1.903
750,2674,1,1612288171310,1612288173176,Panda,Panda,Panda,panda,0.0,5,1,18,1.866
751,2674,1,1612288173176,1612288176538,Aap,Monkey,Monkey,monkey,0.0,6,1,19,3.362
778,2675,1,1612288833917,1612288834460,kat,cat,cat,cat,0.0,3,1,1,0.543
780,2675,1,1612288835555,1612288836630,tijger,Tiger,Tiger,tiger,0.0,5,1,2,1.075
781,2675,1,1612288836630,1612288837354,leeuw,lion,lion,lion,0.0,4,1,3,0.724
782,2675,1,1612288837354,1612288838892,draak,dragon,dragon,dragon,0.0,6,1,4,1.538
783,2675,1,1612288838892,1612288840240,eenhoorn,unicorn,unicorn,unicorn,0.0,7,1,5,1.348
784,2675,1,1612288840240,1612288842472,olifant,elephant,elephant,elephant,0.0,8,1,6,2.232
785,2675,1,1612288842472,1612288843650,beer,bear,bear,bear,0.0,4,1,7,1.178
786,2675,1,1612288843650,1612288845473,pad,path,path,toad,0.0,4,1,8,1.823
787,2675,1,1612288845473,1612288846674,kikker,frog,frog,frog,0.0,4,1,9,1.201
788,2675,1,1612288846674,1612288848782,vis,fish,fish,fish,0.0,4,1,10,2.108
789,2675,1,1612288848782,1612288849917,paling,eel,eel,eel,0.0,3,1,11,1.135
790,2675,1,1612288849917,1612288855913,paard,horse,horse,horse,0.0,5,1,12,5.996
791,2675,1,1612288855913,1612288857346,stier,bull,bull,bull,0.0,4,1,13,1.433
792,2675,1,1612288857346,1612288859316,koe,cow,cow,cow,0.0,3,1,14,1.97
793,2675,1,1612288859316,1612288861194,antilope,antelope,antelope,antelope,0.0,8,1,15,1.878
796,2675,1,1612288867363,1612288871465,apen,apes,apes,ape,0.0,4,1,16,4.102
797,2675,1,1612288871465,1612288873512,gorillas,gorillas,gorillas,gorilla,0.0,8,1,17,2.047
798,2675,1,1612288873512,1612288878931,hond,dog,dog,dog,0.0,3,1,18,5.419
799,2675,1,1612288878931,1612288883310,vogel,bird,bird,bird,0.0,4,1,19,4.379
923,2676,1,1612289331633,1612289332650,kat,cat,cat,cat,0.0,3,1,1,1.017
924,2676,1,1612289332650,1612289334353,paard,horse,horse,horse,0.0,5,1,2,1.703
925,2676,1,1612289334353,1612289335361,slang,snake,snake,snake,0.0,5,1,3,1.008
926,2676,1,1612289335361,1612289337003,krokodil,crocodile,crocodile,crocodile,0.0,9,1,4,1.642
927,2676,1,1612289337003,1612289338511,giraffe,giraffe,giraffe,giraffe,0.0,7,1,5,1.508
928,2676,1,1612289338511,1612289340264,olifant,elephant,elephant,elephant,0.0,8,1,6,1.753
929,2676,1,1612289340264,1612289343854,kaaiman,caiman,caiman,caiman,0.0,6,1,7,3.59
930,2676,1,1612289343854,1612289346873,sprinkhaan,grasshopper,grasshopper,grasshopper,0.0,11,1,8,3.019
931,2676,1,1612289346873,1612289351484,lieveheerstbeestje,ladybug,ladybug,ladybird,0.0,7,1,9,4.611
932,2676,1,1612289351484,1612289353753,spin,spider,spider,spider,0.0,6,1,10,2.269
933,2676,1,1612289353753,1612289355051,slak,snail,snail,snail,0.0,5,1,11,1.298
934,2676,1,1612289355051,1612289360597,cavia,guinea pig,guinea pig,guinea pig,0.0,10,2,12,5.546
935,2676,1,1612289360597,1612289361599,rat ,rat,rat,rat,0.0,3,1,13,1.002
936,2676,1,1612289361599,1612289362574,muis,mouse,mouse,mouse,0.0,5,1,14,0.975
937,2676,1,1612289362574,1612289364434,aap,monkey,monkey,monkey,0.0,6,1,15,1.86
938,2676,1,1612289364434,1612289367444,vogelbekdier,platypus,platypus,platypus,0.0,8,1,16,3.01
939,2676,1,1612289367444,1612289371068,leeuw,lion,lion,lion,0.0,4,1,17,3.624
940,2676,1,1612289371068,1612289372308,panter,panther,panther,panther,0.0,7,1,18,1.24
941,2676,1,1612289372308,1612289374313,wolf,Wolf,Wolf,wolf,0.0,4,1,19,2.005
1013,2677,1,1612291880788,1612291881656,kat,cat,cat,cat,0.0,3,1,1,0.868
1014,2677,1,1612291881656,1612291882356,vis,fish,fish,fish,0.0,4,1,2,0.7
1015,2677,1,1612291882356,1612291884876,koe,cow,cow,cow,0.0,3,1,3,2.52
1016,2677,1,1612291884876,1612291886214,kip,chicken,chicken,chicken,0.0,7,1,4,1.338
1018,2677,1,1612291887439,1612291889248,salamander,salamander,salamander,salamander,0.0,10,1,5,1.809
1019,2677,1,1612291889248,1612291890550,olifant,elephant,elephant,elephant,0.0,8,1,6,1.302
1020,2677,1,1612291890550,1612291891770,giraffe,giraffe,giraffe,giraffe,0.0,7,1,7,1.22
1021,2677,1,1612291891770,1612291893094,gorilla,gorilla,gorilla,gorilla,0.0,7,1,8,1.324
1022,2677,1,1612291893094,1612291894886,aap,monkey,monkey,monkey,0.0,6,1,9,1.792
1023,2677,1,1612291894886,1612291897550,oerang oetang,orangutan,orangutan,orangutan,0.0,9,1,10,2.664
1024,2677,1,1612291897550,1612291899387,vis,fish,fish,fish,0.0,4,1,11,1.837
1025,2677,1,1612291899387,1612291900499,goudvis,goldfish,goldfish,goldfish,0.0,8,1,12,1.112
1026,2677,1,1612291900499,1612291903005,vogel,bird,bird,bird,0.0,4,1,13,2.506
1027,2677,1,1612291903005,1612291905436,neushoorn,Rhino,Rhino,rhino,0.0,5,1,14,2.431
1028,2677,1,1612291905436,1612291906696,zebra,zebra,zebra,zebra,0.0,5,1,15,1.26
1029,2677,1,1612291906696,1612291908905,leeuw,lion,lion,lion,0.0,4,1,16,2.209
1030,2677,1,1612291908905,1612291910320,tijger,Tiger,Tiger,tiger,0.0,5,1,17,1.415
1031,2677,1,1612291910320,1612291911731,kikker,frog,frog,frog,0.0,4,1,18,1.411
1032,2677,1,1612291911731,1612291914630,eend,duck,duck,duck,0.0,4,1,19,2.899
1107,2679,1,1612297629348,1612297631089,hond,dog,dog,dog,0.0,3,1,1,1.741
1108,2679,1,1612297631089,1612297633134,ezel,donkey,donkey,donkey,0.0,6,1,2,2.045
1109,2679,1,1612297633134,1612297635731,olifant,elephant,elephant,elephant,0.0,8,1,3,2.597
1110,2679,1,1612297635731,1612297639281,rups,caterpillar,caterpillar,caterpillar,0.0,11,1,4,3.55
1111,2679,1,1612297639281,1612297640745,kameel,camel,camel,camel,0.0,5,1,5,1.464
1112,2679,1,1612297640745,1612297643145,leeuw,lion,lion,lion,0.0,4,1,6,2.4
1113,2679,1,1612297643145,1612297645571,wasbeer,racoon,racoon,racoon,0.0,6,1,7,2.426
1114,2679,1,1612297645571,1612297647892,ijsbeer,polar bear,polar bear,polar bear,0.0,10,2,8,2.321
1115,2679,1,1612297647892,1612297650808,koalabeer,Koala bear,Koala bear,koala,0.0,10,2,9,2.916
1116,2679,1,1612297650808,1612297653397,toekan,toucan,toucan,toucan,0.0,6,1,10,2.589
1117,2679,1,1612297653397,1612297655198,slang,snake,snake,snake,0.0,5,1,11,1.801
1118,2679,1,1612297655198,1612297656927,haai,shark,shark,shark,0.0,5,1,12,1.729
1119,2679,1,1612297656927,1612297658818,vis,fish,fish,fish,0.0,4,1,13,1.891
1120,2679,1,1612297658818,1612297663093,mus,sparrow,sparrow,sparrow,0.0,7,1,14,4.275
1121,2679,1,1612297663093,1612297665730,hamster,hamster,hamster,hamster,0.0,7,1,15,2.637
1122,2679,1,1612297665730,1612297669192,tijger,Tiger,Tiger,tiger,0.0,5,1,16,3.462
